"module","n_genes","degree_mean","degree_norm_mean","strength_w_mean","betweenness_w_mean","closeness_w_mean","eigenvector_mean","degree_median","degree_norm_median","strength_w_median","betweenness_w_median","closeness_w_median","eigenvector_median","top_hub_gene"
"7",60,11,0.0523809523809524,9141.4,0.00831320726057568,243.819551139015,0.239694240867071,7,0.0333333333333333,6152.5,0.000934153565732513,243.705786203456,0.120923086797197,"PTPRC"
"2",29,4.41379310344828,0.0210180623973727,3730.72413793103,0.0115555346045364,213.549804943103,0.0340806253844897,4,0.019047619047619,3428,0.000865800865800866,213.22765435866,0.00721504396932498,"MMP9"
"8",25,5.12,0.0243809523809524,4274.8,0.0130781499202552,232.074126108449,0.0679755991990286,4,0.019047619047619,3187,4.55684666210982e-05,243.488155234749,0.0380841475375552,"IL1B"
"1",21,6.14285714285714,0.0292517006802721,5119.52380952381,0.0189673317492866,135.120516979773,1.21739084470705e-05,6,0.0285714285714286,4930,0,126.092109787437,1.35601349459749e-07,"SPRR1B"
"11",19,18.9473684210526,0.0902255639097744,16608.9473684211,0.0145051624276001,283.275967291636,0.549221905794901,18,0.0857142857142857,16264,0.00113921166552745,286.497714090527,0.578844083516267,"CCR7"
"6",14,2.92857142857143,0.0139455782312925,2496.14285714286,0.0315984767112587,203.243233169114,0.00865306489165431,2,0.00952380952380952,1765,0.00298473456368193,190.947526335808,0.000667167284900175,"S100A7"
"3",6,3.83333333333333,0.0182539682539683,3296.83333333333,0.00797448165869218,208.577362744347,0.0512027188805588,3,0.0142857142857143,2659,0.00483025746183641,198.870873140966,0.00600644055800691,"SELP"
"10",6,3.33333333333333,0.0158730158730159,2726,0.00584035847193742,190.473125465496,0.017984352800489,3,0.0142857142857143,2432.5,0.0012531328320802,184.488660658021,0.00500756631437126,"LILRB2"
"12",6,2,0.00952380952380952,1636,8.35421888053467e-05,495.22114339761,0,2,0.00952380952380952,1519,0,478.32944318722,0,"MCM10"
"4",5,2,0.00952380952380952,1648,4.55684666210982e-05,542.488411781971,0,2,0.00952380952380952,1709,0,503.686948084355,0,"SLC26A4"
"15",5,2.2,0.0104761904761905,2097.6,0.00660742766005924,185.256352083605,0.0037516467409393,2,0.00952380952380952,1898,0,177.237511675507,0.000872493627175599,"CYP1A1"
"5",3,1.33333333333333,0.00634920634920635,1156,1.51894888736994e-05,659.895929581344,0,1,0.00476190476190476,998,0,594.759514170034,0,"FOSB"
"9",3,2,0.00952380952380952,1972,0,985.828260121277,0,2,0.00952380952380952,1964,0,981.705702647592,0,"UPP1"
"13",3,1.33333333333333,0.00634920634920635,1054.66666666667,1.51894888736994e-05,614.500218610752,0,1,0.00476190476190476,819,0,532.961194029849,0,"AKR1B10"
"14",3,1.33333333333333,0.00634920634920635,1122,1.51894888736994e-05,653.694719955941,0,1,0.00476190476190476,872,0,567.114675220529,0,"POU2AF1"
"16",3,1.33333333333333,0.00634920634920635,1068.66666666667,1.51894888736994e-05,617.496119368929,0,1,0.00476190476190476,882,0,547.265060240975,0,"WIF1"
