"STRING_id","gene","module","degree","degree_norm","strength_w","betweenness_w","closeness_w","eigenvector","lfc","padj"
"9606.ENSP00000306461","SPRR1B","1",13,0.0619047619047619,11174,0.0866256550467077,144.343494809779,1.26431470226375e-06,1.78630447067058,7.67468510165539e-21
"9606.ENSP00000357776","LCE3D","1",11,0.0523809523809524,9216,0.000364547732968786,124.435096000065,1.31600358712669e-07,1.68794954865472,6.7787520234168e-11
"9606.ENSP00000357751","SPRR1A","1",10,0.0476190476190476,8544,0.00779220779220779,139.031290943209,6.43191162880437e-07,1.72368882668029,1.73237528304918e-13
"9606.ENSP00000357753","IVL","1",9,0.0428571428571429,7289,0.00806561859193438,126.62115095221,1.56506026065977e-07,1.19389046806084,9.24513270343351e-18
"9606.ENSP00000376423","SPRR2A","1",9,0.0428571428571429,7549,0,126.092109787437,1.32904092676626e-07,3.00548785111653,1.01828392286129e-15
"9606.ENSP00000357746","SPRR2D","1",9,0.0428571428571429,7802,0,126.086755525142,1.35601349459749e-07,1.47763239946588,2.7503470442744e-09
"9606.ENSP00000357744","SPRR2B","1",9,0.0428571428571429,8013,0.00824789245841877,126.374357724768,1.37782016053581e-07,1.79770993596767,1.97400374770305e-07
"9606.ENSP00000418193","SPRR2F","1",8,0.0380952380952381,6661,0,125.204142821136,1.24406188811391e-07,3.21183403134097,1.66040594506769e-11
"9606.ENSP00000357778","LCE3E","1",7,0.0333333333333333,5839,0,119.829939121274,6.42490907554213e-08,1.94090916652276,7.76835230845142e-14
"9606.ENSP00000369317","KRT6A","1",6,0.0285714285714286,4930,0.106539074960128,167.160536073461,1.2492319865891e-05,3.20087500068339,6.35105047905873e-23
"9606.ENSP00000252252","KRT6B","1",6,0.0285714285714286,4997,0.0228753702437913,167.153748269275,1.26437782864156e-05,2.7040378631385,5.11526422573644e-19
"9606.ENSP00000243924","PI3","1",5,0.0238095238095238,3864,0,122.683155530739,8.01126980500566e-08,3.91961621663986,5.14290703340056e-27
"9606.ENSP00000257189","DSG3","1",5,0.0238095238095238,3882,0.00833902939166097,140.563822584371,6.48744422743051e-07,1.10305878765466,3.09065398441697e-16
"9606.ENSP00000335006","LCE3A","1",5,0.0238095238095238,3996,0,111.061624159625,2.74122961274157e-08,2.6213618606037,3.84298615905492e-10
"9606.ENSP00000301653","KRT16","1",4,0.019047619047619,3564,0.149464570517202,195.792809406245,0.000213953487165543,3.78011468870057,1.14009102565824e-29
"9606.ENSP00000333952","LCE5A","1",4,0.019047619047619,2949,0,121.954894656166,6.34483779706116e-08,-1.91504533737104,5.73954751395988e-13
"9606.ENSP00000308452","KRT17","1",3,0.0142857142857143,2565,0,163.008321487926,1.18056160610569e-05,1.81616470035663,1.43473159431257e-08
"9606.ENSP00000252250","KRT6C","1",2,0.00952380952380952,1482,0,137.931233515287,1.05005249822016e-06,6.10044384274456,5.00103721358603e-49
"9606.ENSP00000222032","CNFN","1",2,0.00952380952380952,1576,0,110.358441742192,1.28602871681031e-08,1.12218227543314,5.63404453892389e-13
"9606.ENSP00000280904","DSC2","1",1,0.00476190476190476,911,0,121.863014778906,3.33102192931658e-08,1.75672893673456,5.78752265619192e-22
"9606.ENSP00000366047","KLK6","1",1,0.00476190476190476,707,0,119.980916686017,5.03802223219682e-08,1.33180442583921,2.88764417144563e-05
"9606.ENSP00000361405","MMP9","2",20,0.0952380952380952,16635,0.12863978127136,308.616405313818,0.248112456458926,2.17856098116894,3.62186521648416e-23
"9606.ENSP00000223095","SERPINE1","2",9,0.0428571428571429,7591,0.00797448165869218,260.79760114602,0.123766227543823,1.73009242120984,7.63321814088838e-19
"9606.ENSP00000356438","PTGS2","2",9,0.0428571428571429,7768,0.0247436773752563,276.005322070818,0.131947422544275,1.8426768799335,6.73559976654477e-12
"9606.ENSP00000230990","HBEGF","2",7,0.0333333333333333,6321,0.0599681020733652,240.920501539896,0.0197911227218363,1.56912095411416,2.67923254126236e-18
"9606.ENSP00000231751","LTF","2",7,0.0333333333333333,5744,0.0125768967874231,247.003443677801,0.0216572300932211,2.18989598915774,7.83046363253254e-08
"9606.ENSP00000362108","LCN2","2",7,0.0333333333333333,6000,0.0177261335156072,278.303846257985,0.118524846506187,1.14566078601603,1.68663694122975e-06
"9606.ENSP00000322788","MMP1","2",6,0.0285714285714286,4883,0,264.922301024627,0.12048228690356,6.29972124205095,4.80960112951184e-40
"9606.ENSP00000260356","THBS1","2",6,0.0285714285714286,4899,0.00847573479152426,245.93165586483,0.0509744981901211,1.46929997373602,3.97633515164255e-11
"9606.ENSP00000342235","ERBB4","2",6,0.0285714285714286,5237,0.00683526999316473,197.879359264667,0.00182070866493182,-1.10945395496114,6.00373099920886e-07
"9606.ENSP00000378517","SPP1","2",6,0.0285714285714286,4769,0.000637958532695375,244.902630298638,0.0498167406363526,1.62430715846444,0.0373983052693182
"9606.ENSP00000379097","AREG","2",5,0.0238095238095238,4433,0.0165869218500797,187.487975691545,0.00111439097307319,1.28362110397005,7.14504543764206e-15
"9606.ENSP00000379092","BTC","2",4,0.019047619047619,3877,0,194.108950175648,0.00127309523769286,-2.53575090128738,3.10080964511005e-23
"9606.ENSP00000339328","PLAUR","2",4,0.019047619047619,3428,0.00833902939166097,226.031098596934,0.0190529033572003,1.38642025525061,5.62406720766316e-23
"9606.ENSP00000411898","EPGN","2",4,0.019047619047619,3539,0,192.61655176314,0.00121841169600792,2.81746168210884,7.00548819213546e-20
