"STRING_id","gene","module","deg","lfc","padj"
"9606.ENSP00000357721","S100A8","6",4,3.50056098920212,5.73659930147969e-20
"9606.ENSP00000357727","S100A9","6",3,3.22038253803693,2.34192441743427e-20
"9606.ENSP00000283752","SERPINB3","6",3,2.36777559307306,9.52217220328302e-20
"9606.ENSP00000303532","DEFB4A","6",3,3.87841093283277,1.45423826047972e-17
"9606.ENSP00000345344","CTSL","6",2,1.15351899270043,2.23784548624425e-19
"9606.ENSP00000227266","CTSC","6",2,1.1403784740447,1.51017728304467e-14
"9606.ENSP00000343445","SERPINB4","6",2,3.18316427586202,1.64172202452477e-13
"9606.ENSP00000269489","SERPINB13","6",2,1.16938441832061,1.78847064800834e-13
"9606.ENSP00000420384","CST7","6",2,1.37991451087766,3.3085459606466e-13
"9606.ENSP00000499289","S100A2","6",1,1.64017967642909,7.69892231705836e-21
"9606.ENSP00000297258","FABP5","6",1,1.58493962670846,1.39854077775358e-19
"9606.ENSP00000357718","S100A7A","6",1,3.95114110307466,3.03446748088882e-18
"9606.ENSP00000411355","PTPRC","7",35,1.14505038773181,3.3989451077019e-12
"9606.ENSP00000356946","FCGR3A","7",31,1.49496164974116,1.77386881286366e-18
"9606.ENSP00000324890","CD28","7",31,1.55485852629046,7.44863476770069e-16
"9606.ENSP00000497102","CTLA4","7",29,1.68252771976815,2.3846422821054e-14
"9606.ENSP00000358490","CD2","7",29,1.10402891017083,2.70063941348131e-10
"9606.ENSP00000216341","GZMB","7",28,2.26609081921847,1.34101725274978e-15
"9606.ENSP00000306157","IL7R","7",27,1.46196686448899,6.41675589020361e-14
"9606.ENSP00000454623","ITGAX","7",25,1.73201486687789,3.95443287254302e-21
"9606.ENSP00000498227","SELL","7",23,1.92076358206434,2.22254885631258e-24
"9606.ENSP00000319476","ICOS","7",23,1.6853072912918,3.50685636496153e-13
"9606.ENSP00000266557","CD27","7",23,1.43766504597028,2.46097839232986e-11
"9606.ENSP00000228434","CD69","7",22,1.17062897681663,1.72627818952818e-09
"9606.ENSP00000432511","JAK3","7",19,1.53952167984751,4.92633019308817e-21
"9606.ENSP00000370989","CD274","7",19,1.74046430753935,1.3858260482136e-17
"9606.ENSP00000354782","CD247","7",19,1.1448655902402,1.49395213035964e-11
"9606.ENSP00000342681","CD5","7",18,1.45919111236128,8.8088239194142e-16
"9606.ENSP00000369293","IL2RA","7",17,1.62640708988224,5.7923462595412e-15
"9606.ENSP00000335062","PDCD1","7",17,1.45244220884721,5.20522092417543e-10
"9606.ENSP00000478699","TNFRSF9","7",17,1.64630123296674,1.08131791852369e-09
"9606.ENSP00000419085","TIGIT","7",15,1.43279332732386,1.07465286182346e-12
"9606.ENSP00000430950","IDO1","7",15,1.34481227850798,7.72585078770904e-10
"9606.ENSP00000300692","CD3D","7",14,1.10392501705254,1.10727296490251e-09
"9606.ENSP00000349252","ITGAL","7",12,1.27322480944867,1.62961137079157e-13
"9606.ENSP00000398655","ITK","7",11,1.15792718002374,6.0115945660036e-10
"9606.ENSP00000368538","TNFRSF4","7",10,1.52146923891662,2.18430340669765e-13
"9606.ENSP00000312027","CD7","7",9,1.53648776264568,8.57552569614331e-17
"9606.ENSP00000323280","CD6","7",9,1.10142983334172,1.39517837350332e-10
"9606.ENSP00000271450","FCGR2A","7",8,1.15411023562553,1.21305674293694e-15
"9606.ENSP00000360181","SH2D1A","7",8,1.28225728064596,6.81245169084591e-11
"9606.ENSP00000330341","SOCS3","7",7,2.12418009255386,9.37948397274233e-21
"9606.ENSP00000438406","SLAMF1","7",7,1.44523209329641,4.57862621651641e-13
"9606.ENSP00000329932","LGALS9C","7",7,1.48520860952791,2.4940224326949e-12
"9606.ENSP00000379111","IL4R","7",6,1.12170450669517,7.43311930903446e-23
"9606.ENSP00000338010","IL21R","7",6,1.63944571677379,2.62466660232876e-15
"9606.ENSP00000356016","CR1","7",6,1.3549765004281,3.02664228360214e-10
"9606.ENSP00000470788","IL12RB1","7",5,1.2770809415819,3.22041438377059e-15
"9606.ENSP00000461947","CD226","7",5,1.23358847522861,3.82343612351886e-10
"9606.ENSP00000357150","CD1B","7",5,1.36547437170286,6.25964420626551e-06
"9606.ENSP00000357022","SLAMF7","7",4,1.29160221335772,7.32197857724585e-22
"9606.ENSP00000436423","GNLY","7",4,1.32177979828298,2.82820300411289e-09
"9606.ENSP00000263125","PRKCQ","7",3,1.70194157968341,3.7835880962934e-21
"9606.ENSP00000497382","CD53","7",3,1.10246742663604,4.91290562914027e-16
"9606.ENSP00000384053","CSF2RB","7",3,1.21330619930582,1.15466930680046e-15
"9606.ENSP00000284240","THY1","7",3,1.41912119705788,4.36280070442712e-14
"9606.ENSP00000362195","CSF3R","7",3,1.42999255700914,4.5408370700797e-10
"9606.ENSP00000356429","RGS1","7",2,1.91907158175677,1.18006022437726e-15
"9606.ENSP00000380150","CARD11","7",2,1.17091308039809,1.06775793315285e-11
"9606.ENSP00000361004","IL13RA2","7",2,1.50868639878714,5.89793548530387e-11
"9606.ENSP00000330393","LEPR","7",2,-1.21645388044103,8.82124353090518e-11
"9606.ENSP00000378485","MATK","7",2,1.11155172887621,1.19116302142858e-10
"9606.ENSP00000242465","SRGN","7",1,1.52413556453579,1.18308466477632e-27
"9606.ENSP00000376123","SH2D2A","7",1,2.15656079452901,1.34697097657169e-27
"9606.ENSP00000264170","KYNU","7",1,1.69526841663279,2.65788663405165e-21
"9606.ENSP00000365596","GPR183","7",1,1.33040744933256,2.24148330687271e-19
"9606.ENSP00000413861","SIGLEC9","7",1,1.37323668893144,2.27037917144083e-19
"9606.ENSP00000349359","SASH3","7",1,1.35664309082282,5.08198974042434e-18
"9606.ENSP00000370074","SERPINB9","7",1,1.25281903589731,9.44487842098854e-17
"9606.ENSP00000234313","PLEK","7",1,1.16337434591372,1.19458061817235e-16
"9606.ENSP00000472474","IL4I1","7",1,1.8021398793677,1.71525807754742e-13
"9606.ENSP00000243440","BATF3","7",1,1.31859798347006,5.18639661462981e-13
"9606.ENSP00000263341","IL1B","8",45,2.10642912292404,1.58190027877563e-10
"9606.ENSP00000471493","FPR1","8",9,2.68788968387243,4.83380473045792e-26
"9606.ENSP00000257570","OASL","8",6,2.61934641342838,1.48585775995369e-24
"9606.ENSP00000381601","MX1","8",6,1.13932776930187,2.20941013574966e-08
"9606.ENSP00000244709","TREM1","8",5,2.5215853636047,4.00001575724548e-19
"9606.ENSP00000302569","CLEC7A","8",5,1.31328692630325,2.57785426165658e-15
"9606.ENSP00000342278","OAS2","8",5,1.45650419521492,1.44352025245146e-14
"9606.ENSP00000347197","C5AR1","8",4,1.28480829961348,1.16903670956911e-14
"9606.ENSP00000357112","AIM2","8",4,1.49975533106407,7.4839243852424e-14
"9606.ENSP00000219596","MEFV","8",4,1.50374730659385,2.7832051392148e-12
"9606.ENSP00000318982","EPSTI1","8",4,1.21797242777641,4.27094232058948e-10
"9606.ENSP00000483430","IFI27","8",4,1.10994032241927,7.91470888087588e-07
"9606.ENSP00000384906","SAA1","8",4,1.34287218848969,2.28782059966227e-05
"9606.ENSP00000362205","TREM2","8",4,1.34043141460452,4.88680033330837e-05
"9606.ENSP00000385428","NLRC4","8",3,1.34544834199289,2.2190244606872e-14
"9606.ENSP00000359339","CGAS","8",2,1.14676667506301,2.24148330687271e-19
"9606.ENSP00000233954","IL1RL1","8",2,1.72409381774383,3.13606838095071e-18
"9606.ENSP00000418767","TREML2","8",2,2.00978312319652,2.93783779974946e-14
"9606.ENSP00000264260","IL18RAP","8",2,1.18807789985521,2.58000941500024e-11
"9606.ENSP00000263326","IL37","8",2,-1.60201978656262,1.3012035689234e-10
"9606.ENSP00000458585","MMP12","8",2,1.92479469127389,1.76075161710449e-05
"9606.ENSP00000259205","IL36G","8",1,1.46492619425781,4.99490580700837e-19
"9606.ENSP00000219919","AQP9","8",1,-1.10197758292044,8.25308884728586e-11
"9606.ENSP00000360215","ZBP1","8",1,1.75998945852433,1.10359419501057e-09
"9606.ENSP00000305529","SIRPG","8",1,1.1833750572096,1.87285212928678e-08
"9606.ENSP00000330032","UPP1","9",2,1.82324285475284,1.85424522782555e-23
"9606.ENSP00000354532","PNP","9",2,1.16101504135467,1.34714978800287e-22
"9606.ENSP00000379038","TYMP","9",2,1.81047314375282,2.15946251780957e-21
"9606.ENSP00000375629","LILRB2","10",7,1.5722285509487,2.13940430974196e-20
"9606.ENSP00000315997","LILRB1","10",4,2.21375761630446,8.54937468770791e-21
"9606.ENSP00000329507","CD300C","10",4,1.42866754643168,1.30451613613458e-18
"9606.ENSP00000245620","LILRB3","10",2,1.59247916355073,5.62406720766316e-23
"9606.ENSP00000356320","ULBP2","10",2,1.92427977218388,4.12170957426042e-19
"9606.ENSP00000349785","MAP1LC3C","10",1,-1.10732998668575,5.21653318195329e-07
"9606.ENSP00000246657","CCR7","11",37,2.05170425011182,1.83336425065338e-17
"9606.ENSP00000225831","CCL2","11",30,1.72224319877879,4.46130606054522e-13
"9606.ENSP00000305651","CXCL10","11",29,1.65234854637337,2.17259056652371e-05
"9606.ENSP00000292303","CCR5","11",28,1.49866144863529,9.60572671006206e-17
"9606.ENSP00000362795","CXCR3","11",28,1.45727548748349,3.49713809758126e-13
"9606.ENSP00000474412","CCL5","11",26,1.12295092268239,2.59334642425284e-08
"9606.ENSP00000354901","CXCL9","11",24,1.64363879321218,7.15625620854049e-06
"9606.ENSP00000292301","CCR2","11",22,1.23681105227516,2.19501951098353e-12
